journal,outlier_type,year,title,alignment_score,abstract_preview,manual_interpretation
eswa,high_alignment,2021,Monitoring electrical systems data-network equipment by means of Fuzzy and Paraconsistent Annotated Logic,0.5607534646987915,"The constant increase in the amount and complexity of information obtained from IT data networkelements, for its correct monitoring and management, is a reality. The same happens to data net-works in electrical systems that provide effective supervision and control of substations and hydro-electric plants. Contributing to this fact is the growing number of installations and new environmentsmonitored by such data...",
eswa,high_alignment,2018,A scenario-based modeling method for controlling ECM performance,0.5108228325843811,"Abstract Firms are increasingly more integrating Enterprise Content Management (ECM) into their IT infrastructure in order to manage a growing volume of complex structured and unstructured data. These packages allow capturing, generating and delivering accurate information and contents in real time to support decision making in the whole business process. However, it is not easy to achieve the full benefits...",
eswa,high_alignment,2019,Evaluation of EPL mutation operators with the MuEPL mutation system,0.4876774549484253,"Abstract The expert systems (ESs) have been developed to facilitate the users their tasks, to enhance the productivity and reduce losses. In order to replicate the behaviour of a human expert, they generate output using their stored knowledge base. In a ES, the accumulation of knowledge from different sources is a very important factor. Nowadays, we are living in a...",
eswa,high_alignment,2021,The user-knowledge crowdsourcing task allocation integrated decision model and genetic matrix factorization algorithm,0.4774784445762634,"Abstract Given the pattern matching problem between the knowledge in the Expert Knowledge Recommendation System (EKRS) established by the author of this article and user’s expertise knowledge, based on the full consideration of some constraint conditions such as user characteristics, task characteristics and matching eigenvalues, the user-knowledge integrated decision-making mathematical model (UKID) is established by using the crowdsourcing task allocation...",
eswa,high_alignment,2019,A systematic survey of computer-aided diagnosis in medicine: Past and present developments,0.4555036127567291,"Abstract Computer-aided diagnosis (CAD) in medicine is the result of a large amount of effort expended in the interface of medicine and computer science. As some CAD systems in medicine try to emulate the diagnostic decision-making process of medical experts, they can be considered as expert systems in medicine. Furthermore, CAD systems in medicine may process clinical data that can...",
eswa,low_alignment,2020,Distributed mining of high utility time interval sequential patterns using mapreduce approach,-0.097843199968338,"Abstract High Utility Sequential Pattern mining (HUSP) algorithms aim to find all the high utility sequences from a sequence database. Due to the large explosion of data, recently few distributed algorithms have been designed for mining HUSPs based on the MapReduce framework. However, the existing HUSP algorithms such as USpan, HUS-Span and BigHUSP are able to predict only the order...",
eswa,low_alignment,2025,ROIsGAN: A Region Guided Generative Adversarial Framework for Murine Hippocampal Subregion Segmentation,-0.0959481224417686,"The hippocampus, a critical brain structure involved in memory processing and various neurodegenerative and psychiatric disorders, comprises three key subregions: the dentate gyrus (DG), Cornu Ammonis 1 (CA1), and Cornu Ammonis 3 (CA3). Accurate segmentation of these subregions from histological tissue images is essential for advancing our understanding of disease mechanisms, developmental dynamics, and therapeutic interventions. However, no existing methods...",
eswa,low_alignment,2020,Enhanced attentive convolutional neural networks for sentence pair modeling,-0.0936923176050186,"Abstract Sentence Pair Modeling is a critical and challenging problem in natural language processing (NLP). It aims to seek the underlying semantic relationship between two sentences. Inspired by human learning, attention mechanisms are widely used in NLP. Previous attentive CNNs mainly focus on attentive pooling which only compute the matching scores between sentence pairs with the same filter size and...",
eswa,low_alignment,2021,Two-phase Optimization of Binary Sequences with Low Peak Sidelobe Level Value,-0.0920299440622329,"The search for binary sequences with low peak sidelobe level value represents a formidable computational problem. To locate better sequences for this problem, we designed a stochastic algorithm that uses two fitness functions. In these fitness functions, the value of the autocorrelation function has a different impact on the final fitness value. It is defined with the value of the...",
eswa,low_alignment,2021,Hierarchical and lateral multiple timescales gated recurrent units with pre-trained encoder for long text classification,-0.0896553099155426,"Abstract Text classification, using deep learning techniques, has become a research challenge in natural language processing. Most of the existing deep learning models for text classification face difficulties when the length of the input text increases. Most models work well on shorter text inputs, however, their performance degrades with the increase in the input length. In this work, we introduce...",
kbs,high_alignment,2016,A multi-disciplinary review of knowledge acquisition methods: From human to autonomous eliciting agents,0.5400031208992004,"This paper offers a multi-disciplinary review of knowledge acquisition methods in human activity systems. The review captures the degree of involvement of various types of agencies in the knowledge acquisition process, and proposes a classification with three categories of methods: the human agent, the human-inspired agent, and the autonomous machine agent methods. In the first two categories, the acquisition of...",
kbs,high_alignment,2020,Knowledge configuration model for fast derivation design of electronic equipment and its implementation,0.5041590929031372,Abstract There has contradictions in timeliness and diversity in the design schemes of complex product systems. The traditional solidified knowledge template for the knowledge reuse purpose cannot meet the rapid design needs of complex products. This paper proposes a configurable knowledge ontology model (CKOM) and a corresponding design method for rapid derivation of complex products. Based on the combination of...,
kbs,high_alignment,2024,Capturing and Anticipating User Intents in Data Analytics via Knowledge Graphs,0.4862522482872009,"In today's data-driven world, the ability to extract meaningful information from data is becoming essential for businesses, organizations and researchers alike. For that purpose, a wide range of tools and systems exist addressing data-related tasks, from data integration, preprocessing and modeling, to the interpretation and evaluation of the results. As data continues to grow in volume, variety, and complexity, there...",
kbs,high_alignment,2021,A decision model for blockchain applicability into knowledge-based conversation system,0.45264333486557,"Abstract Conversation systems usually suffer from the challenge of knowledge management from multiple human experts. The current mechanism used in knowledge-based conversation system is always based on centralized servers, which may be problematic in terms of transparency and security. Blockchain solutions are currently being proposed improve the security and efficiency in different domains. However, there are various blockchain platforms with...",
kbs,high_alignment,2018,Guest Editorial: Intelligent Decision Making and Consensus Under Uncertainty in Inconsistent and Dynamic Environments,0.4486767649650574,"In today’s Information and Knowledge Society, thanks to the new Information and Communication Technologies, we have many more information resources that allow both individuals and large entities to make decisions anywhere, anytime and with more knowledge. However, this greater amount of available information is not always easily processable, consistent, understandable, accurate and complete. This makes the task of making decisions...",
